job_id,job_title,employer,publication_date,application_deadline,municipality,region,category,type,hours,experience,number_of_vacancies,description,search_term,collected_date
31083431,Data Engineer,NXT Interim AB,2026-05-26T11:19:55,2026-06-25T23:59:59,Stockholm,Stockholms län,IT-tekniker/Datatekniker,Vanlig anställning,Heltid,True,1,"Vi söker en senior Data Engineer till ett framåtblickande, tvärfunktionellt team som utvecklar framtidens datalösningar inom försvarsområdet. Teamet arbetar på distans och levererar innovativa, affärskritiska och samhällsviktiga dataprodukter.
I rollen som Data Engineer kommer du att designa, utveckla och vidareutveckla datapipelines och dataprodukter som skapar konkret nytta. Du blir en del av ett samarbetsorienterat team med starkt fokus på att lösa komplexa problem genom robusta, skalbara och välstrukturerade datalösningar.
 
Kvalifikationer
 
Vi söker dig som har:
Kandidatexamen eller masterexamen inom datavetenskap, teknik, matematik eller motsvarande arbetslivserfarenhet
Minst 5 års erfarenhet som Data Engineer, med dokumenterad erfarenhet av att leverera datalösningar i produktionsmiljö
Goda kunskaper i Python
Erfarenhet av datamodellering
Erfarenhet av dataarkitekturer såsom Medallion och Lakehouse
Erfarenhet av att bygga ETL-pipelines i PySpark
Erfarenhet av dataplattformar, exempelvis Databricks
Erfarenhet av Delta tables, Parquet-filer och S3 bucket-arkitektur
Praktisk erfarenhet av Airflow
Erfarenhet av agila arbetssätt
Erfarenhet av molnplattformar såsom AWS, Azure eller GCP
Erfarenhet av ramverk för datakvalitet och datatestning

Kan detta vara ett uppdrag som passar dig?
Sök redan i dag eller kontakta oss så berättar vi gärna mer. Vi behöver en ansökan inkluderat CV  och personligt brev på svenska som matchar vår kunds krav. Kunden kan fatta beslut tidigare än sista ansökningsdatum, urval och intervjuer sker löpande. NXT Interim och NXT Rekrytering är ett nischat och innovativt företag som är verksamma inom konsult och rekryteringsbranschen. 
 
Vi är verksamma inom HR, IT, Ekonomi, Sälj och Marknad och har över 20 års erfarenhet i branschen. Vi erbjuder våra konsulter bl.a sjukförsäkring, remote-arbetsplatser och flera andra förmåner som förgyller deras vardag. Vid anställning tillämpar vi kollektivavtal.",data engineer,2026-06-22 14:04:08
30979729,Data Engineer,Techrytera AB,2026-04-30T11:53:20,2026-10-27T23:59:59,Jönköping,Jönköpings län,Dataingenjör,Vanlig anställning,Heltid,True,1,"Om oss På Techrytera AB börjar rekryteringen med dig. Vi är ett bemannings- och rekryteringsföretag med spetskompetens och ett tydligt fokus inom IT och Engineering. Med vår branschkunskap och nära dialog med både kandidater och kunder skapar vi träffsäkra matchningar där rätt kompetens möter rätt behov.
Vi tror att en riktigt bra matchning inte bara handlar om en rollbeskrivning – utan om dina erfarenheter, din potential och vad du faktiskt vill utvecklas inom. Därför utgår vi alltid från individen. Genom att förstå din bakgrund, dina drivkrafter och dina ambitioner kan vi koppla ihop dig med uppdrag och roller hos våra kunder där du får rätt förutsättningar att utvecklas och göra skillnad.
Vårt mål är att bygga långsiktiga och meningsfulla samarbeten – både för dig som kandidat och för våra kunder.
Arbetsbeskrivning Vi söker en erfaren och analytisk Data Engineer som vill arbeta med att förstå och optimera vår kunds datatransaktioner.

Som Data Engineer blir du en nyckelperson i vår kunds team och ansvarar för att analysera, strukturera och förbättra deras interna dataprocesser och kopplingar mellan system. Du kommer att arbeta med stora datamängder, bygga effektiva pipelines och säkerställa datakvalitet för att stödja verksamhetens behov.

Vår kunds vision är att ta en ledande position på elmarknaden och bygga stabila, datadrivna lösningar som bidrar till ett hållbart energisystem. Nu behöver de din hjälp för att komma dit.

Dina ansvarsområden

Analysera och förstå datatransaktioner mellan våra system.


Utveckla och optimera datamodeller, pipelines och integrationer.


Arbeta med databaser som MSSQL, Oracle, Snowflake och verktyg som DBT.


Säkerställa datakvalitet, prestanda och tillgänglighet.


Samarbeta med utvecklare, analytiker och verksamheten för att skapa effektiva datalösningar.





Nödvändiga färdigheter

Dokumenterad erfarenhet av SQL och arbete med relationsdatabaser.


Erfarenhet av databaser som MSSQL, Oracle, Snowflake.


Kunskap om ETL-processer och dataintegration.


Förståelse för datamodellering och optimering av databaser.


Erfarenhet av att arbeta med DBT eller liknande verktyg för data transformation.


Grundläggande förståelse för dataskydd och säkerhet.



Meriterande färdigheter

Erfarenhet av Python eller andra språk för datahantering.


Kunskap om molnplattformar (Azure, AWS eller GCP).


Erfarenhet av dataanalys och visualisering.


Arbetat med IoT, MQTT och realtidsdata samt förstå konsekvenserna av bearbetning av realtidsdata för analys


Vana att arbeta i agila team och med DevOps-principer.



Ansökan När du söker via Techrytera AB söker du inte bara ett jobb – du påbörjar en dialog om din fortsatta karriär. Vi vill lära känna dig, din erfarenhet och dina ambitioner för att kunna matcha dig med rätt möjligheter hos våra kunder.
Låter det intressant? Skicka in din ansökan eller hör av dig till oss så berättar vi mer. Vi ser fram emot att hitta nästa steg i din karriär tillsammans med dig.",data engineer,2026-06-22 14:04:08
30708777,Data Engineer,CoreChange Tech AB,2026-03-06T14:52:40,2026-09-02T23:59:59,Stockholm,Stockholms län,Dataingenjör,Vanlig anställning,Heltid,True,1,"Är du vår nästa kollega?
Var med och bygga upp vårt Data Engineering‑team!

CoreChange söker en eller flera Senior Data Engineers som vill kombinera avancerade teknikuppdrag hos kund med möjligheten att påverka vår tekniska riktning och sätta standarden för hur modern dataengineering ska bedrivas.
Hos oss får du variationen från konsultrollen, tryggheten i ett litet men stabilt konsultbolag och chansen att skapa något långsiktigt och betydelsefullt, både för våra kunder och för vårt bolag. 

Vem vi söker
Om du idag arbetar med stabil pipelineutveckling, dbt‑baserad modellering, realtids‑arkitektur, Databricks/GCP‑pipelining eller produktorienterat dataägande så är du definitivt en intressant kandidat för oss.
Har du konsulterfarenhet eller gillar tanken på variation i arbetsmiljö så är du troligtvis en ännu bättre matchning.
Skulle du även vilja vara med och bygga upp ett team av experter likt dig själv så är du spot on.
 
Vad vi erbjuder

Konkurrenskraftig lön


Tjänstepension


Hög friskvårdsersättning


Generöst med semesterdagar


Privat sjukvård


Leasing av cykel/elcykel


Extra ersättning vid föräldraledighet


Regelbundna aktiviteter såsom gemensam träning, AWs, middagar, sommarfest och julfest


Centralt kontor på Kungsgatan inrett mer som ett hem än en arbetsplats



Vilka är CoreChange Tech och vad erbjuder vi dig som kollega?
Vi är ett litet konsultbolag med kontor i Stockholm och Göteborg, en del av koncernen CoreChange Group som varit aktivt sedan 2013 där även managementkonsultbolaget Spearhead ingår.
På CoreChange Tech tror vi på frihet under ansvar och integralistiskt ledarskap där du är med och formar bolagets väg framåt och din arbetsplats bestäms utifrån dina förutsättningar tillsammans med kundens behov. 
Vill du veta mer om oss och vad vi gjort de senaste 10 åren",data engineer,2026-06-22 14:04:08
31185148,Data Engineer,Vend Marketplaces AB,2026-06-16T14:53:05,2026-06-26T23:59:59,Stockholm,Stockholms län,Databasanalytiker,Vanlig anställning,Heltid,True,1,"THE OPPORTUNITY IN A NUTSHELL

You? A data professional who enjoys building reliable platform tools and supporting others to make data-driven decisions.Role? Join us as a Data Engineer to develop end-to-end platform tools, automate data governance with AI, and support our data community.Tech stack? Snowflake, dbt, Terraform, CI/CD pipelines, and data-intensive ETL applications.Location? Stockholm.Company? Vend, home of DBA, Bilbasen, FINN, Blocket, Oikotie & Tori, where millions of people across the Nordics connect to find what they need, whether it’s a way to move, a job, a home, a way to move, or a fresh start.Why us? This is your chance to build the very foundation of how our iconic Nordic brands use data. Down the road, you will have a direct impact on our platform's future by bringing AI into automated governance, all while growing your skills in a highly collaborative, psychologically safe engineering culture that values continuous learning.

Sounds like your cup of tea? Check out the details below!

WHO ARE YOU?

Experienced with cloud data warehousing & dbt: You have a solid foundation in building or supporting data warehouse solutions (such as Snowflake, Google BigQuery, or AWS Redshift) and feel right at home using dbt for data transformations.
Infrastructure as Code & CI/CD: You bring practical experience with Terraform and enjoy designing and maintaining CI/CD pipelines to ensure smooth, automated deployments.
User-focused problem solver: You care about the developer experience. You enjoy building tools that make life easier for the consumers and producers of data products.
Naturally collaborative and open-minded: You thrive when sharing knowledge and tackling fresh, evolving topics, like finding creative ways to use AI for automation.
Clear communicator: Since we support diverse teams across multiple regions, you can explain technical platform concepts in a clear, accessible way to colleagues with varying levels of data expertise.


WHAT’S THE JOB LIKE?

As a Data Engineer within our Data Platform business area, your mission is to empower teams across Vend to access, trust, and utilize data seamlessly. You won’t just be managing data; you’ll be building the product that enables our entire data ecosystem.

Your main focus areas are:

Platform Tooling: Developing and improving end-to-end tools that make it simple for internal teams to build and consume data products.
Community Support: Actively helping and onboarding data consumers and producers across the company, troubleshooting platform hurdles, and advocating for modern data engineering practices.
Stakeholders: You will collaborate closely with other platform engineers, data scientists, analysts, and product teams across our Nordic brands (like Tori, Blocket, and FINN).
AI-Driven Governance: Taking ownership of Snowflake governance, with a specific focus on developing innovative tooling and automations assisted by AI down the road.


At Vend, our mission is simple: Smart choices made easy.

We’re here to make sustainable living effortless through seamless digital experiences. As part of a dynamic family of marketplaces, including FINN, Blocket, Tori, Bytbil, Oikotie, Bilbasen, and DBA, we connect people with services and products that matter.

Driven by purpose and curiosity, we constantly evolve to meet today’s needs and shape a smarter, more sustainable tomorrow.

At Vend, your time matters. We want you to explore new paths to smarter. Be curious with technology and lean forward. Dare to try, learn, and try again, as we innovate, grow and succeed together. Because your time matters. And when spent wisely, it creates value for you, for Vend, and society as a whole.",data engineer,2026-06-22 14:04:08
31173122,Data Engineer,Quest Consulting Sverige AB,2026-06-12T13:01:23,2026-06-30T23:59:59,Sundbyberg,Stockholms län,Dataingenjör,Vanlig anställning,Heltid,True,1,"We are currently looking for an experienced Senior Data Engineer to join a large Swedish public-sector-owned international organization undergoing extensive data and analytics transformation. This is an exciting opportunity to work with modern cloud technologies, large-scale datasets, and business-critical analytics solutions in a collaborative and innovative environment.
About the Role
As a Senior Data Engineer, you will play a key role in designing, developing, and maintaining scalable data solutions that enable data-driven decision-making across the organization. You will work closely with business stakeholders, analysts, and technical teams to deliver reliable, high-quality data products and reporting capabilities.
Key ResponsibilitiesDesign, develop, and maintain scalable data pipelines and ETL processes using Azure and Databricks.
Ingest, transform, and model data from multiple source systems.
Develop semantic models and Power BI reports to support business intelligence and analytics.
Ensure data quality, integrity, security, and governance standards are met.
Document data engineering processes, solutions, and best practices.
Support data literacy and knowledge-sharing initiatives across the organization.
Collaborate with business stakeholders to understand requirements and translate them into effective data solutions.
Required QualificationsMinimum 5 years of experience working as a Data Engineer.
Strong hands-on experience with Microsoft Azure and Databricks.
Solid experience with SQL and Python.
Experience working with CI/CD pipelines and automated deployment processes.
Proven experience in data ingestion, transformation, and semantic modeling.
Strong understanding of data warehousing, data modeling, and ETL concepts.
Experience with Power BI.
Familiarity with Azure DevOps and Azure Storage Explorer.
Experience working with large-scale datasets is considered a strong advantage.
Excellent communication skills in both Swedish and English.
Your Application
Does this role sound interesting and like a good fit for you? If so, we encourage you to apply as soon as possible, as interviews are conducted on an ongoing basis and the position may be filled before the application deadline.
Please note that we can only receive and process applications submitted through our application portal by registering your CV. Due to GDPR regulations, we are unable to accept applications via email.
We look forward to receiving your application!
About UsQuest Consulting is an authorized consulting company offering collective bargaining agreements, insurance, wellness benefits, and occupational pension plans. We specialize in IT, Engineering, HR, Administration, and Finance.
Our goal is to be your trusted and long-term career partner. That is why we are committed to working according to our core values: Personal, Innovative, and Professional.",data engineer,2026-06-22 14:04:08
31166467,Data engineer,Verisure Sverige AB,2026-06-11T08:54:21,2026-08-10T23:59:59,Malmö,Skåne län,Devops utvecklare,Vanlig anställning,Heltid,True,1,"​
Location: MalmöDepartment: AI Models & Alarm IntelligenceHiring Manager: Christian Falck

The roleAs a Data Engineer within our team AI Models & Alarm Intelligence, you will play a key role in building the data infrastructure that powers Verisure’s next-generation of AI-driven products and services.

You will join a growing AI team working with Computer Vision, Edge AI, Cloud AI, and connected devices, helping create the data foundations that enable our Machine Learning Engineers to train, deploy, monitor, and continuously improve AI solutions used across multiple countries.

The role combines cloud infrastructure, data engineering, system design, and cross-functional collaboration. Success comes from balancing strategic thinking with hands-on implementation, while working closely with both your teammates and stakeholders across the wider organization.

You will join a collaborative and highly skilled AI team where knowledge sharing, ownership, and continuous improvement are part of everyday work.

What you will be up to
Build and maintain data pipelines that support AI model training, evaluation, and deployment
Work closely with AI Ops teams, developers, and stakeholders across multiple countries to enable scalable AI infrastructure
Develop and improve cloud-based solutions for collecting, processing, and storing data from connected devices
Maintain and evolve our data lake, training infrastructure, monitoring capabilities, and feedback loops from products in the field
Collaborate with engineers across R&D to reduce complexity, improve reliability, and support future AI initiatives
Help shape the long-term data architecture that will support the next generation of AI-powered products


Good fit if you haveStrong Python skills and experience building production-grade data pipelines
Hands-on experience working with AWS and cloud-native architecture
Experience building and maintaining S3-based data platforms and modern data architecture
Experience with containerized environments such as Docker
Understanding of APIs, cloud services, and distributed systems
Experience working closely with software engineers and other technical stakeholders


Nice to have / technologies and areas we work with
AI, Machine Learning, Computer Vision, or Data Products
AWS services such as S3, SageMaker, IAM, and cloud networking
Data Lakes and Medallion Architecture (Bronze, Silver, Gold)
Snowflake and modern analytics platforms
Docker, orchestration, and cloud deployment patterns
IoT, Edge AI, and connected devices


Should I apply?
Strong fit if most of these resonate with you:
Building scalable systems and infrastructure is something you genuinely enjoy
Solving complex technical problems motivates you
You proactively identify opportunities for improvement rather than waiting for instructions
Working across teams and dependencies feels energizing rather than frustrating
You enjoy balancing hands-on implementation with long-term architectural thinking
AI, cloud platforms, and emerging technologies spark your curiosity


FAQIs this primarily a Data Engineering role or an AI role?The primary focus is Data Engineering. You will work very closely with AI initiatives and Machine Learning Engineers, but your responsibility is to build and maintain the infrastructure and data foundations that enable AI development at scale.
Will I be building new systems or maintaining existing ones?Both. You will help evolve our current infrastructure while also building new capabilities that support future AI products and services.
Will I work with stakeholders outside the AI team?Yes. Collaboration is a significant part of the role. You will work with AI Ops, R&D teams, IT teams, and stakeholders across multiple countries and functions.
What is the biggest challenge in this role?Balancing hands-on delivery with long-term architecture while navigating dependencies on multiple teams and platforms across the organization.


Bottom line
If you enjoy building modern cloud-based data platforms, working alongside talented AI engineers, and creating the foundations that enable AI products to scale globally, this is an opportunity to have a significant impact in one of Verisure’s most exciting and rapidly growing technology domains.

About VerisureVerisure is the leading provider of professionally monitored security services in Europe and Latin America. As of 31 December 2025, Verisure provides premium monitored alarm services to a portfolio of ~6.2 million families and small businesses across 18 countries, with a team of more than 30,000 colleagues.

For the year ended 31 December 2025, Verisure delivered a strong financial performance: Total Revenue of €3,745 million, Adjusted EBITDA of €1,708 million (46% margin) and Adjusted EBIT of €953 million (25% margin). This performance builds on the Company’s track record of resilient, uninterrupted growth over the long term and highlights the strength of its recurring revenue model.
Verisure is majority owned by Hellman & Friedman LLC, a leading private equity investment firm.

Beginning October 8th, 2025, Verisure is listed in the Nasdaq Stockholm Stock Exchange. With €3.1 billion raised in primary proceeds, this was the largest IPO in Europe since 2022 and the largest in Sweden in over 25 years.

My team and I eagerly await your application! Join us on this journey towards a safer, smarter world. Apply today!

If you have questions regarding this position, please reach out to our Group Senior TA Specialist, Robert Jonasson, at robert.jonasson@verisure.com

Verisure is an equal-opportunity employer and welcomes applicants from diverse backgrounds. We are an international company with offices and colleagues in multiple countries.

Verisure - 35 years of delivering peace of mind.",data engineer,2026-06-22 14:04:08
31091688,Data Engineer,Flower Infrastructure Technologies AB,2026-05-27T16:07:17,2026-11-23T23:59:59,Stockholm,Stockholms län,Dataingenjör,Vanlig anställning,Heltid,True,1,"⚡️ What We Do
Flower is Flexible Power. We are a next-gen energy company leveraging AI and machine learning to make renewable energy stable and always available – even when the sun isn’t shining and the wind isn’t blowing.
Through smart optimization and trading of energy assets like wind and solar farms, battery systems, and EV chargers, we make renewable energy reliable and predictable, leading the charge towards the energy system of tomorrow.

🌟 Who We Are
Tech company at heart – purpose in our DNA. Flower consists of a diverse group of innovative individuals with a strong desire to improve the state of the world.
At Flower, we believe trust, collaboration and diversity are essential to not only create an inclusive work environment, but also drive career growth. By embracing varying perspectives, we allow creativity and progress to flourish.
To accelerate towards our goal of becoming the pioneering force powering the energy system of tomorrow, we are now looking for a passionate and skilled Senior Software Engineer to join our Asset Optimisation domain.

👩‍💻 About the role
As a Data Engineer, you will play a pivotal role in guiding the future of the Wholesale squad within the Asset Optimization domain. Our mission is to master short-term energy-intensive markets, including Intraday Continuous.
You will join a small, highly talented team at a moment of expansion and help us build robust data pipelines that will push the performance of our strategies to the next level, guarantee observability of our trading activities, and enable the discoverability of new opportunities. Your contribution will help the team scale with the company’s growth, and excel in an ever-changing energy landscape.

What you’ll do

Contribute to the backbone of our data ecosystem: Design and operate robust, low-latency data pipelines that reliably feed our trading algorithms and analytics systems.


Model and monitor trading intelligence: Develop and maintain efficient data models, analytical dashboards, and monitoring frameworks that bring clarity to the team’s trading performance and system health.


Design for reliability: Automate data quality checks, fallbacks, and alerting systems that prevent outages, protect trading operations, and ensure compliance.


Accelerate backtesting and research: Work alongside extremely ambitious and talented colleagues to design data pipelines and models that enable high-fidelity backtesting and rapid hypothesis testing.


Drive technical excellence: Contribute to code quality, observability, and maintainability; champion good engineering patterns and regulatory compliance in everything you build.



Who you are

Experienced data engineer: 4+ years of experience designing and operating production-grade data systems in Python and SQL, ideally in time-sensitive or high-availability environments.


Engineering leader: Strong programming skills (especially Python and SQL) and deep expertise in building robust data pipelines in cloud-native solutions. You are fluent in IaC practices and tools (Terraform, CloudFormation) and experienced in designing scalable, fault-tolerant systems.


Full-stack problem solver: Comfortable owning everything in the data lifecycle, from ingestion to insight, from analytics to operational readiness, with the mindset that no problem is “out of scope” if it advances the team’s mission.


Great communicator: Adept at explaining technical concepts to both technical peers and business stakeholders, helping align decisions across the organization.


Bonus points: You have working experience in or around trading desks, especially with limit orderbook data. You have working experience in the energy sector, understand market data structures, or have experience enabling algorithmic or live trading environments.



📍 Location
Our beautiful office is located in the heart of Södermalm, just a short walk from Slussen subway station. We encourage in-office collaboration but support a hybrid work model.

✉️ Apply
Our corporate language is English, as we have about 30 nationalities in the office. We therefore appreciate it if you could submit your CV in English.
Throughout the recruitment process you will meet with the Talent Partner, the Head of Wholesale, the Team and VP of Engineering.
We look forward to hearing from you!

—-
We kindly but firmly decline any engagement in recruitment assistance for our hiring processes. This includes partnership offers or the sale of recruitment tools.",data engineer,2026-06-22 14:04:08
31083754,Data Engineer,Cubane Solutions AB,2026-05-26T12:02:35,2026-06-25T23:59:59,Stockholm,Stockholms län,Dataingenjör,Tidsbegränsad anställning,Heltid,True,1,"For our client we are looking for a data engineer. 
Key Responsibilities
Design, develop, and maintain data pipelines and ETL processes in Snowflake and AWS
Collaborate with BI developers to build backend data solutions that meet business needs
Implement data engineering best practices to ensure data quality, reliability, and efficiency
Optimize data workflows and improve performance and cost-efficiency
Work closely with stakeholders and other teams to deliver scalable data solutions

Required Qualifications
Proven experience in Data Engineering
Strong hands-on experience with Snowflake and AWS
Proficiency in SQL
Experience in data modeling and database design
Understanding of data engineering best practices and methodologies
Strong analytical and problem-solving skills
Good communication and collaboration skills



Öppen för alla
Vi fokuserar på din kompetens, inte dina övriga förutsättningar. Vi är öppna för att anpassa rollen eller arbetsplatsen efter dina behov.",data engineer,2026-06-22 14:04:08
31065405,Data Engineer,Celsus Engineering AB,2026-05-21T12:21:25,2026-11-10T23:59:59,Stockholm,Stockholms län,Dataanalytiker,Tillsvidareanställning (inkl. eventuell provanställning),Heltid,True,2,"In this role, you will work with our customers on various data engineering projects. This role
is perfect for those with a good foundation in data engineering, and a passion for operational
excellence in data management and analytics. You will design, build, and maintain efficient,
scalable data pipelines and work closely with data scientists, analysts, and stakeholders to
deliver customized data solutions that drive impactful business decisions.
Develop and manage scalable data pipelines, ensuring efficient and reliable data flows.
Implement processes and solutions to improve data quality, accuracy, and consistency.
Create scripts and tools to automate repetitive tasks, improving efficiency and reducing manual work.
Build and maintain data integrations, including file, messaging, and API-based systems.
Develop data models tailored to meet business requirements.
Contribute to implementing infrastructure as code solutions.
Collaborate with data scientists, architects, and software developers to support the
creation of data architecture and governance models.
Enhance the performance of existing data pipelines, optimizing queries and indexing for faster data retrieval.
Implement security measures to protect data from unauthorized access.
Ensure compliance with data governance policies and regulatory requirements, maintaining documentation and data lineage.
Monitor cost efficiency and identify areas for optimization.
You are passionate about building data products and enabling data-driven decisions.
You enjoy sharing knowledge and learning new things in the data, analytics & AI area.
You want to develop and maintain robust, scalable data and analytics systems.
You have the ability to work both independently and collaboratively within a team environment.
Fluent in English both written and verbal.
You are eager to learn and have a basic understanding of working with data sets
You are gaining experience with ETL workflows and excited to improve your skills in
streamlining these processes.
You have a foundational knowledge of big data concepts, cloud technologies, and data modeling.
Your skills in SQL and Python are strong, with a focus on writing efficient queries.
You are gaining hands-on experience with cloud platforms like AWS, Azure, or Google
Cloud and are keen to expand your knowledge.",data engineer,2026-06-22 14:04:08
31053575,Data Engineer,DKR,2026-05-19T12:06:07,2026-07-31T23:59:59,,,Databasutvecklare,Arbete utomlands,Heltid,True,1,"David Kennedy Recruitment is working with an innovative global Customer Experience company currently looking to hire a Data Engineer to join their growing international team.

Position: Data Engineer

Location: Limassol, Cyprus 

Employment type: Full-time
 

DUTIES AND RESPONSIBILITIES:

Develop and maintain batch and incremental ETL/ELT pipelines

Build and manage data ingestion processes from APIs and relational databases

Implement and optimise transformation logic within the Data Warehouse environment

Support data quality validation, monitoring, auditability, and reliability initiatives

Assist with containerised and automated workflows in Docker-based environments

Collaborate with technical teams and business stakeholders to understand data structures and business requirements

Support schema evolution, deployment processes, and system scalability

Document pipeline logic, workflows, and technical decisions to support maintainability and best practices

Contribute to the continuous improvement of data engineering standards and processes.

REQUIREMENTS:

Native/fluent in English both oral and written

3-5 years of experience in Data Engineering, Software Engineering, or backend development

Strong SQL proficiency and solid working knowledge of Python

Good understanding of ETL/ELT concepts and incremental loading principles

Experience working with relational databases, APIs, and data integration processes

Familiarity with Git and version control systems

Experience with cloud data platforms such as BigQuery or Snowflake

Knowledge of orchestration tools such as Airflow

Familiarity with Docker and containerised environments

Understanding of data modelling concepts and structured data environments

Awareness of secure data handling and access control principles

Strong analytical, problem-solving, and engineering fundamentals

Structured, detail-oriented, and proactive approach to work

Ability to quickly learn new technologies and adapt to evolving environments

Effective communication skills with the ability to collaborate across technical and business teams

Ability to understand and navigate technical systems holistically, even when working with unfamiliar tools or technologies.

 

OFFER:

Excellent working environment within an international organisation.

Medical insurance and pension plan options.

Birthday vouchers and additional perks for special occasions.

Fully equipped kitchen and in-house entertainment space.

Monthly lunches, corporate events, sports teams, competitions, and social activities.

Daily snacks and a casual dress code.

Strong opportunities for professional growth and career progression within a global organisation.",data engineer,2026-06-22 14:04:08
